Province_State,Last_Update,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio,Testing_Rate,Date
Alabama,2021-01-02 05:30:44,365747,4872,7459.375895463867,1.3320683423240656,NULL,2021-01-01
Alaska,2021-01-02 05:30:44,47019,206,6427.355801762024,0.4381207596928901,174391.1857780451,2021-01-01
American Samoa,2021-01-02 05:30:44,0,0,0.0,NULL,3846.084721698028,2021-01-01
Arizona,2021-01-02 05:30:44,530267,9015,7285.171274003372,1.7000869373353424,39551.860582022906,2021-01-01
Arkansas,2021-01-02 05:30:44,229442,3711,7602.945718144717,1.6174022192972517,67979.49767446793,2021-01-01
California,2021-01-02 05:30:44,2434971,26298,6164.469662969861,1.0743439616803088,83666.03670970372,2021-01-01
Colorado,2021-01-02 05:30:44,362438,5435,5854.774381044729,1.4453035790023163,77173.28941628858,2021-01-01
Connecticut,2021-01-02 05:30:44,185708,5995,5208.781228551867,3.2281861847631768,121187.80339422885,2021-01-01
Delaware,2021-01-02 05:30:44,58064,1065,5962.841099075341,1.8341829705152928,1.0491063543117223e-05,2021-01-01
Diamond Princess,2021-01-02 05:30:44,49,0,NULL,0.0,NULL,2021-01-01
District of Columbia,2021-01-02 05:30:44,29252,788,4144.816358223675,2.6938329003145083,128133.65658328951,2021-01-01
Florida,2021-01-02 05:30:44,1323315,21673,6161.333477544678,1.6377808760574768,80979.47190618825,2021-01-01
Georgia,2021-01-02 05:30:44,677589,10958,6381.859326881862,1.6172045295894708,50869.726109621886,2021-01-01
Grand Princess,2021-01-02 05:30:44,103,3,NULL,2.912621359223301,NULL,2021-01-01
Guam,2021-01-02 05:30:44,7326,122,4460.844308861407,1.6653016653016652,58577.35235555231,2021-01-01
Hawaii,2021-01-02 05:30:44,22397,289,1581.8520318220856,1.2903513863463856,57689.60753514442,2021-01-01
Idaho,2021-01-02 05:30:44,141077,1436,7894.340720678879,1.0178838506631132,30524.071592247623,2021-01-01
Illinois,2021-01-02 05:30:44,963389,17978,7602.6089699341555,1.866120539055356,105546.5114287836,2021-01-01
Indiana,2021-01-02 05:30:44,517773,9468,7690.970837401457,1.828600564339972,8.51137344165423e-06,2021-01-01
Iowa,2021-01-02 05:30:44,282980,3898,8969.056154063142,1.3774825075977102,37222.81914505859,2021-01-01
Kansas,2021-01-02 05:30:44,229822,2892,7898.496351577619,1.2568011542406174,34754.441162195355,2021-01-01
Kentucky,2021-01-02 05:30:44,265261,2623,5937.341430315066,0.9888374091932096,70475.30112432133,2021-01-01
Louisiana,2021-01-02 05:30:44,315275,7488,6781.866436757577,2.375069383871224,90651.08068888405,2021-01-01
Maine,2021-01-02 05:30:44,24902,352,1852.535165584,1.4135410810376676,82681.37763983657,2021-01-01
Maryland,2021-01-02 05:30:44,280219,5942,4635.028648555663,2.120484335466189,9.530001587910706e-06,2021-01-01
Massachusetts,2021-01-02 05:30:44,375178,10522,5443.276557152025,3.3112282703143574,1.587913563476142e-05,2021-01-01
Michigan,2021-01-02 05:30:44,528621,13018,5293.166809137249,2.462633909738736,8.213548066223438e-06,2021-01-01
Minnesota,2021-01-02 05:30:44,415302,5382,7363.9911256621,1.2959244116329804,94888.79770878667,2021-01-01
Mississippi,2021-01-02 05:30:44,218386,4816,7337.871860582249,2.205269568562087,45227.70869334835,2021-01-01
Missouri,2021-01-02 05:30:44,445019,5747,7250.903798789982,1.2914055354939902,59731.53575080637,2021-01-01
Montana,2021-01-02 05:30:44,81555,961,7630.677278162537,1.178345901538839,74064.86660466439,2021-01-01
Nebraska,2021-01-02 05:30:44,167716,1668,8670.146111885393,0.994538386319731,90767.82147302949,2021-01-01
Nevada,2021-01-02 05:30:44,227046,3143,7371.250027596005,1.3843009786563076,68041.29401238119,2021-01-01
New Hampshire,2021-01-02 05:30:44,45932,759,3378.070781217479,1.6524427414438736,76146.84296883676,2021-01-01
New Jersey,2021-01-02 05:30:44,535043,19160,6023.773416240814,3.5810205908683974,87734.15114966016,2021-01-01
New Mexico,2021-01-02 05:30:44,144142,2502,6874.284932152312,1.7357883198512578,94595.5535716074,2021-01-01
New York,2021-01-02 05:30:44,995816,37973,5118.939406517912,3.8132546574869255,131103.5701895401,2021-01-01
North Carolina,2021-01-02 05:30:44,539545,6748,5144.361925400292,1.2506834462371073,6.678074851421861e-06,2021-01-01
North Dakota,2021-01-02 05:30:44,92215,1316,12173.550183580865,1.4185620351406705,167693.70471169017,2021-01-01
Northern Mariana Islands,2021-01-02 05:30:44,122,2,221.2389380530973,1.639344262295082,31827.57870303206,2021-01-01
Ohio,2021-01-02 05:30:44,700380,13766,5991.735890701594,1.9655044404466149,7.491806897023723e-06,2021-01-01
Oklahoma,2021-01-02 05:30:44,291209,2489,7359.391817630202,0.854712594734366,67861.35152367808,2021-01-01
Oregon,2021-01-02 05:30:44,113909,1477,2700.713676552142,1.2966490795283954,62893.20552703974,2021-01-01
Pennsylvania,2021-01-02 05:30:44,657071,16245,5132.56963429667,2.4723355619103566,30645.581713903983,2021-01-01
Puerto Rico,2021-01-02 05:30:44,77054,1521,2412.69201119456,1.973940353518312,43409.07425695762,2021-01-01
Rhode Island,2021-01-02 05:30:44,87949,1944,8302.080216281325,2.210371920090052,186385.75518638128,2021-01-01
South Carolina,2021-01-02 05:30:44,307507,5296,5972.501094448051,1.7222372173641576,61627.44716447641,2021-01-01
South Dakota,2021-01-02 05:30:44,99164,1488,11209.290811487816,1.5005445524585534,6.751595812623847e-06,2021-01-01
Tennessee,2021-01-02 05:30:44,592168,6955,8673.55261412288,1.1741725923975068,82646.27610894085,2021-01-01
Texas,2021-01-02 05:30:44,1822635,28416,6276.039689913198,1.5583640556920484,47761.232017747614,2021-01-01
Utah,2021-01-02 05:30:44,276612,1269,8628.060629615235,0.4587653464057958,70035.32173534401,2021-01-01
Vermont,2021-01-02 05:30:44,7412,136,1187.8414523332942,1.834862385321101,111813.66979225595,2021-01-01
Virgin Islands,2021-01-02 05:30:44,2036,23,1898.0497445650144,1.1296660117878192,33758.4368124697,2021-01-01
Virginia,2021-01-02 05:30:44,354766,5081,4156.34948501667,1.4322116550063986,50276.02890931413,2021-01-01
Washington,2021-01-02 05:30:44,246752,3461,3240.3869627583736,1.402622876410323,50385.73752776303,2021-01-01
West Virginia,2021-01-02 05:30:44,87820,1361,4900.2676677750205,1.5497608745160556,85678.63015701277,2021-01-01
Wisconsin,2021-01-02 05:30:44,522523,5254,8974.3052475992,1.005505977727296,9.241544000327012e-06,2021-01-01
Wyoming,2021-01-02 05:30:44,44409,438,7673.142015934093,0.9862865635344188,86699.99084247503,2021-01-01
Alabama,2022-01-02 04:32:57,896614,16455,18286.358764762088,1.8352379061669792,NULL,2022-01-01
Alaska,2022-01-02 04:32:57,157169,978,21484.52931808706,0.6222601149081561,503824.3717064569,2022-01-01
American Samoa,2022-01-02 04:32:57,10,0,17.97235851260761,0.0,3846.084721698028,2022-01-01
Arizona,2022-01-02 04:32:57,1389708,24354,19092.760441160164,1.7524544724503277,214781.1764078752,2022-01-01
Arkansas,2022-01-02 04:32:57,570641,9180,18909.14718119533,1.608717214500886,146782.75991416274,2022-01-01
California,2022-01-02 04:32:57,5519689,76443,13972.974894376355,1.385972516375106,304530.0564334232,2022-01-01
Colorado,2022-01-02 04:32:57,1004704,10815,16136.787656180106,1.1052702375507788,246676.6839111916,2022-01-01
Connecticut,2022-01-02 04:32:57,510188,9160,14309.871827990286,1.795416591530965,335026.4368618852,2022-01-01
Delaware,2022-01-02 04:32:57,183880,2286,18883.42555280335,1.2432020883184685,2.8632420175730465e-05,2022-01-01
Diamond Princess,2022-01-02 04:32:57,49,0,NULL,0.0,NULL,2022-01-01
District of Columbia,2022-01-02 04:32:57,94286,1211,13359.707204686085,1.2843900473028869,377677.7579564406,2022-01-01
Florida,2022-01-02 04:32:57,4209927,62504,19601.352786841555,1.484681325828215,217069.2145080276,2022-01-01
Georgia,2022-01-02 04:32:57,1839879,31443,17328.86595928221,1.708971079076396,132590.45062064493,2022-01-01
Grand Princess,2022-01-02 04:32:57,103,3,NULL,2.912621359223301,NULL,2022-01-01
Guam,2022-01-02 04:32:57,19618,270,11945.515103909784,1.3762870832908554,167660.40102539747,2022-01-01
Hawaii,2022-01-02 04:32:57,115642,1094,8167.546218867242,0.9460230712025044,214050.3520092212,2022-01-01
Idaho,2022-01-02 04:32:57,319382,4162,17871.873714722184,1.303141692393435,60897.78491548992,2022-01-01
Illinois,2022-01-02 04:32:57,2149574,31017,16963.213100942634,1.4074586843373584,350933.2241987951,2022-01-01
Indiana,2022-01-02 04:32:57,1246854,19037,18520.6987473224,1.5268026569269535,2.4731278052600487e-05,2022-01-01
Iowa,2022-01-02 04:32:57,575501,7858,18240.514473529907,1.365419000140747,57949.80776971668,2022-01-01
Kansas,2022-01-02 04:32:57,520134,7006,17862.406867230926,1.3463031430394243,69033.51303704304,2022-01-01
Kentucky,2022-01-02 04:32:57,856145,12118,19163.107953514056,1.4154144449830344,184313.3998392452,2022-01-01
Louisiana,2022-01-02 04:32:57,828695,14986,17826.021114293297,1.808385473545756,233216.8515103057,2022-01-01
Maine,2022-01-02 04:32:57,146736,1531,10916.135252475056,1.0433704067168248,254871.1810339441,2022-01-01
Maryland,2022-01-02 04:32:57,735723,11758,12169.400299056517,1.5981558276688372,2.6802386166651223e-05,2022-01-01
Massachusetts,2022-01-02 04:32:57,1140614,16706,16548.618114493383,1.777376044831994,5.262117985295037e-05,2022-01-01
Michigan,2022-01-02 04:32:57,1710325,29020,17125.75838424441,1.6967535409936707,2.0102078161327435e-05,2022-01-01
Minnesota,2022-01-02 04:32:57,1022212,10656,18125.50889845295,1.0424452070607662,246601.4626486267,2022-01-01
Mississippi,2022-01-02 04:32:57,543737,10450,18269.81780818097,1.9218850289754053,94040.99055524438,2022-01-01
Missouri,2022-01-02 04:32:57,1013458,16227,16512.747685186692,1.601151700415804,136943.08104306884,2022-01-01
Montana,2022-01-02 04:32:57,197724,2906,18500.00654953601,1.4697254759159233,216684.94299096725,2022-01-01
Nebraska,2022-01-02 04:32:57,338257,3338,17486.33173560076,0.9868236281880346,230633.29969685816,2022-01-01
Nevada,2022-01-02 04:32:57,484641,8419,15734.300470495651,1.7371621468262075,164449.75514227198,2022-01-01
New Hampshire,2022-01-02 04:32:57,198667,1961,14610.97247871055,0.987078880740133,231707.6202222384,2022-01-01
New Jersey,2022-01-02 04:32:57,1596644,29053,17975.79200625071,1.8196291721886653,188593.1960473712,2022-01-01
New Mexico,2022-01-02 04:32:57,350043,5855,16693.92210809751,1.6726516456549625,270882.65185191546,2022-01-01
New York,2022-01-02 04:32:57,3517696,59585,18082.5299799867,1.693864393057274,454861.6780238847,2022-01-01
North Carolina,2022-01-02 04:32:57,1686667,19426,16081.745722097572,1.1517389028183986,2.0705590267965053e-05,2022-01-01
North Dakota,2022-01-02 04:32:57,174516,2057,22914.93343061326,1.1779460103306496,268600.84874983924,2022-01-01
Northern Mariana Islands,2022-01-02 04:32:57,3287,14,5960.757290004352,0.4259202920596288,31811.25779776585,2022-01-01
Ohio,2022-01-02 04:32:57,2016095,32021,17247.649519637955,1.5835563304308578,2.2510469582773697e-05,2022-01-01
Oklahoma,2022-01-02 04:32:57,708938,12419,17916.178814552848,1.7517751904962071,123314.4999040933,2022-01-01
Oregon,2022-01-02 04:32:57,421263,5655,9987.891611070108,1.342391807493181,205344.33512568468,2022-01-01
Pennsylvania,2022-01-02 04:32:57,2059613,36714,16088.226602913031,1.782567890181311,167858.28358390243,2022-01-01
Puerto Rico,2022-01-02 04:32:57,272724,3308,8539.453059685744,1.212947888707998,108868.85218183082,2022-01-01
Rhode Island,2022-01-02 04:32:57,231096,3066,21814.65996954768,1.3267213625506282,623402.2207727111,2022-01-01
South Carolina,2022-01-02 04:32:57,975320,14636,18942.982655474745,1.5006356887995735,207006.64282381968,2022-01-01
South Dakota,2022-01-02 04:32:57,179204,2486,20256.844727742555,1.3872458204057945,1.2854229708848267e-05,2022-01-01
Tennessee,2022-01-02 04:32:57,1443795,20762,21164.829011531994,1.4397567980251602,163910.7745680517,2022-01-01
Texas,2022-01-02 04:32:57,4679048,75640,16124.962714531765,1.6199932628607177,134104.8061274634,2022-01-01
Utah,2022-01-02 04:32:57,636992,3787,19869.00639372069,0.5945129609163067,157557.2106683868,2022-01-01
Vermont,2022-01-02 04:32:57,64447,471,10328.22693989798,0.7308330876534206,456161.4066914641,2022-01-01
Virgin Islands,2022-01-02 04:32:57,9648,89,8994.294663832643,0.9224709784411276,232390.8341723533,2022-01-01
Virginia,2022-01-02 04:32:57,1118518,15587,13104.276377335696,1.3935403811114349,131173.90987003836,2022-01-01
Washington,2022-01-02 04:32:57,849075,9853,11150.189503647654,1.16043930159291,130778.60713210286,2022-01-01
West Virginia,2022-01-02 04:32:57,328162,5336,18311.10952393972,1.6260261700014018,275536.7723741412,2022-01-01
Wisconsin,2022-01-02 04:32:57,1120663,11173,19247.32852274496,0.996999097855466,2.2937778255622992e-05,2022-01-01
Wyoming,2022-01-02 04:32:57,115638,1526,19980.337238816155,1.319635413964268,207721.34860969768,2022-01-01
Alabama,2023-01-02 04:31:21,1568934,20737,31998.262353959723,1.3217254518035813,NULL,NULL
Alaska,2023-01-02 04:31:21,301432,1455,41204.84727528723,0.4826959314206853,NULL,NULL
American Samoa,2023-01-02 04:31:21,8266,34,14855.95154652145,0.4113234938301476,NULL,NULL
Arizona,2023-01-02 04:31:21,2378334,32182,32675.18162885025,1.353132066396057,NULL,NULL
Arkansas,2023-01-02 04:31:21,985747,12695,32664.381119516045,1.2878558088434455,NULL,NULL
California,2023-01-02 04:31:21,11835450,98544,29938.834370316243,0.8338222945874546,NULL,NULL
Colorado,2023-01-02 04:31:21,1734782,13882,30124.353677612587,0.8002158196245983,NULL,NULL
Connecticut,2023-01-02 04:31:21,949324,11781,26626.86061458727,1.2409883243234132,NULL,NULL
Delaware,2023-01-02 04:31:21,321888,3206,33056.058757563434,0.9959986082115518,NULL,NULL
Diamond Princess,2023-01-02 04:31:21,49,0,NULL,0.0,NULL,NULL
District of Columbia,2023-01-02 04:31:21,173386,1411,24567.65790670621,0.8137911942140658,NULL,NULL
Florida,2023-01-02 04:31:21,7338503,83906,34167.95261064981,1.1433667057164112,NULL,NULL
Georgia,2023-01-02 04:31:21,2985193,41417,28115.98445310129,1.387414482078713,NULL,NULL
Grand Princess,2023-01-02 04:31:21,103,3,NULL,2.912621359223301,NULL,NULL
Guam,2023-01-02 04:31:21,60020,411,36546.529541067655,0.6847717427524158,NULL,NULL
Hawaii,2023-01-02 04:31:21,372198,1761,26287.54576684898,0.4731352667128786,NULL,NULL
Idaho,2023-01-02 04:31:21,511601,5316,28628.00177945402,1.0390910103772275,NULL,NULL
Illinois,2023-01-02 04:31:21,3969832,40678,31328.03091205281,1.0246781223991344,NULL,NULL
Indiana,2023-01-02 04:31:21,2002760,25364,29515.03805803109,1.2734163824466525,NULL,NULL
Iowa,2023-01-02 04:31:21,886411,10424,28094.81247642683,1.1759781861912817,NULL,NULL
Kansas,2023-01-02 04:31:21,917065,9717,31491.833698667564,1.0591243612772712,NULL,NULL
Kentucky,2023-01-02 04:31:21,1662581,17671,37213.578522868615,1.0628655085075551,NULL,NULL
Louisiana,2023-01-02 04:31:21,1514113,18370,32570.017084000712,1.2132515869026947,NULL,NULL
Maine,2023-01-02 04:31:21,306647,2790,22812.39863950032,0.90984095719182,NULL,NULL
Maryland,2023-01-02 04:31:21,1318234,15967,21804.561273504387,1.2112417067076104,NULL,NULL
Massachusetts,2023-01-02 04:31:21,2154886,22940,31264.20111822948,1.0645574754302547,NULL,NULL
Michigan,2023-01-02 04:31:21,2988654,40767,29925.871573008404,1.3640588706487935,NULL,NULL
Minnesota,2023-01-02 04:31:21,1736893,14320,30797.98469119971,0.8244606892882866,NULL,NULL
Mississippi,2023-01-02 04:31:21,955145,13097,32093.319252497105,1.371205419072497,NULL,NULL
Missouri,2023-01-02 04:31:21,1732724,22246,28232.0867959673,1.2838744081573292,NULL,NULL
Montana,2023-01-02 04:31:21,323055,3621,30226.576520100527,1.1208617727631518,NULL,NULL
Nebraska,2023-01-02 04:31:21,555114,4685,28696.841617693888,0.8439707879822883,NULL,NULL
Nevada,2023-01-02 04:31:21,876118,11751,28443.94894284576,1.3412576844671609,NULL,NULL
New Hampshire,2023-01-02 04:31:21,367542,2856,27031.258848387635,0.7770434801535586,NULL,NULL
New Jersey,2023-01-02 04:31:21,2926834,35510,32951.71573677212,1.2132563719021987,NULL,NULL
New Mexico,2023-01-02 04:31:21,659056,8814,31431.07997838641,1.3373673860794837,NULL,NULL
New York,2023-01-02 04:31:21,6576267,75139,33804.95221414732,1.1425783046825806,NULL,NULL
North Carolina,2023-01-02 04:31:21,3316814,27629,31624.594158475466,0.832998172342495,NULL,NULL
